TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WHPI,WECS,QMWT,LSGA,LSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WCFT,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,MBK,EBK,TKLV,FRZR,TDBR,MDBR,MCRT,MGAS,TCRT,TSLP,PPM,RRCA,RRCB,RRCO,WFLB
0.0,155.50001525878906,310.0,327.823974609375,327.8232116699219,292.1760559082031,292.1767883300781,16515.818359375,33031.63671875,67.00003051757812,67.00004577636719,1915.810302734375,3831.62060546875,1915.86474609375,3831.56591796875,289.6449890136719,62.0,2.973992195620667e-06,0.0,0.0,2582.676025390625,1290.2734375,0.0,23.700000762939453,2895.0,11.830000877380371,11.830000877380371,971.0827026367188,1942.0826416015625,50.0,50.0,100.0,0.0,0.0,344.9923095703125,0.0,7.924896240234375,17.16834259033203,17.16908836364746,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.3000001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,100.0,100.0,788.9000244140625,788.9000244140625,788.9000244140625,549.4500122070312,0.0,0.0,23.700000762939453,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,0.6668071150779724,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
10.0,155.4730682373047,309.9831848144531,327.8082580566406,327.80743408203125,292.1593017578125,292.1600646972656,16515.818359375,33031.63671875,66.98776245117188,66.98779296875,1917.3016357421875,3834.582275390625,1915.8453369140625,3831.58544921875,289.626220703125,61.952762603759766,2.7704809326678514e-06,0.0,0.0,2582.7587890625,1290.1939697265625,0.0,23.40960693359375,2904.72802734375,11.830055236816406,11.830069541931152,970.938720703125,1941.7861328125,49.933799743652344,49.933414459228516,100.0,0.0,0.0,344.9778747558594,0.0,7.924896240234375,17.169597625732422,17.17044448852539,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.29229736328125,0.0,0.0,0.0,0.0,8.083569563801886,0.0,0.0,-0.0,0.0019548044074326754,-0.0025064393412321806,0.0,-0.0005516348755918443,100.30370330810547,100.33602905273438,790.467529296875,790.4913940429688,790.4913940429688,550.23681640625,0.0,0.0,23.40960693359375,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,14.002949714660645,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
20.0,155.47216796875,309.98089599609375,327.8124694824219,327.8116149902344,292.15509033203125,292.1559143066406,16515.818359375,33031.63671875,66.98538208007812,66.98542022705078,1916.946533203125,3833.864013671875,1915.8458251953125,3831.585205078125,289.626708984375,61.95402145385742,3.766910595004447e-06,0.0,0.0,2582.756103515625,1290.1768798828125,0.0,24.16560935974121,2901.98486328125,11.830361366271973,11.830388069152832,970.97314453125,1941.854248046875,49.95634841918945,49.95610809326172,100.0,0.0,0.0,344.97833251953125,0.0,7.924896240234375,17.16586685180664,17.16671371459961,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.294464349746704,0.0,0.0,0.0,0.0,7.808814787791006,0.0,0.0,-0.0,0.002222746377810836,-0.0017903748666867614,0.0,0.00043237156933173537,100.2861099243164,100.24127197265625,790.0698852539062,790.0368041992188,790.0368041992188,550.009033203125,0.0,0.0,24.16560935974121,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,27.339092254638672,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
30.0,155.47605895996094,309.9833679199219,327.8130798339844,327.8122253417969,292.1517639160156,292.1526184082031,16515.818359375,33031.63671875,66.98270416259766,66.98273468017578,1917.1365966796875,3834.2353515625,1915.845947265625,3831.585205078125,289.6282958984375,61.95793914794922,-3.3774113035178743e-06,0.0,0.0,2582.7470703125,1290.1708984375,0.0,23.746627807617188,2903.243408203125,11.83069896697998,11.83073616027832,971.158447265625,1942.224609375,49.951629638671875,49.951507568359375,100.0,0.0,0.0,344.9799499511719,0.0,7.924896240234375,17.166851043701172,17.16769790649414,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.2934696674346924,0.0,0.0,0.0,0.0,6.921887769232641,0.0,0.0,-0.0,0.001935102161951363,-0.0021213837899267673,0.0,-0.00018628151156008244,100.26274871826172,100.28474426269531,790.2306518554688,790.2469482421875,790.2469482421875,550.1151123046875,0.0,0.0,23.746627807617188,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,40.675209045410156,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
40.0,155.47508239746094,309.981201171875,327.8130798339844,327.8122253417969,292.1505432128906,292.1513977050781,16515.818359375,33031.63671875,66.98192596435547,66.98196411132812,1917.1368408203125,3834.229736328125,1915.8427734375,3831.58837890625,289.6269836425781,61.9547233581543,4.701952548202826e-06,0.0,0.0,2582.74951171875,1290.1641845703125,0.0,23.879261016845703,2903.22119140625,11.8310546875,11.831101417541504,971.1051025390625,1942.1177978515625,49.95592498779297,49.955963134765625,100.0,0.0,0.0,344.9794921875,0.0,7.924896240234375,17.16640853881836,17.16725730895996,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.293487071990967,0.0,0.0,0.0,0.0,7.167720645741161,0.0,0.0,-0.0,0.0021872844081372023,-0.0021123047918081284,0.0,7.497944170609117e-05,100.29653930664062,100.28398132324219,790.25048828125,790.2411499023438,790.2411499023438,550.1111450195312,0.0,0.0,23.879261016845703,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,54.011314392089844,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
50.0,155.4782257080078,309.9822082519531,327.8139953613281,327.8131408691406,292.1501159667969,292.15093994140625,16515.818359375,33031.63671875,66.98167419433594,66.98170471191406,1917.0975341796875,3834.143310546875,1915.84619140625,3831.584716796875,289.6286315917969,61.95880126953125,7.201029461612052e-07,0.0,0.0,2582.739990234375,1290.1644287109375,0.0,23.84517478942871,2903.092041015625,11.831430435180664,11.831486701965332,971.1558227539062,1942.218994140625,49.96123123168945,49.96137237548828,100.0,0.0,0.0,344.9811706542969,0.0,7.924896240234375,17.167156219482422,17.16800308227539,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.2935891151428223,0.0,0.0,0.0,0.0,6.247051830232804,0.0,0.0,-0.0,0.002069075359031558,-0.002080368110910058,0.0,-1.1292693670839071e-05,100.27487182617188,100.2795181274414,790.2174682617188,790.2208862304688,790.2208862304688,550.1016235351562,0.0,0.0,23.84517478942871,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,67.34744262695312,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
60.0,155.47926330566406,309.9817199707031,327.8137512207031,327.81292724609375,292.1496276855469,292.1505126953125,16515.818359375,33031.63671875,66.98136901855469,66.98139953613281,1917.1007080078125,3834.143798828125,1915.8465576171875,3831.584228515625,289.6286315917969,61.95881271362305,2.4367168407479767e-06,0.0,0.0,2582.7373046875,1290.1627197265625,0.0,23.82280158996582,2903.309814453125,11.831793785095215,11.831855773925781,971.14501953125,1942.19677734375,49.9639892578125,49.96420669555664,100.0,0.0,0.0,344.98162841796875,0.0,7.924896240234375,17.16786766052246,17.16871452331543,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.29341721534729,0.0,0.0,0.0,0.0,5.97711745463287,0.0,0.0,-0.0,0.0021242399234324694,-0.00213623046875,0.0,-1.1990661732852459e-05,100.2876968383789,100.28704071044922,790.2568359375,790.25634765625,790.25634765625,550.1190185546875,0.0,0.0,23.82280158996582,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,80.68362426757812,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
70.0,155.4811553955078,309.9818115234375,327.8139953613281,327.8131408691406,292.1498107910156,292.15069580078125,16515.818359375,33031.63671875,66.9814224243164,66.98146057128906,1917.038818359375,3834.009765625,1915.846923828125,3831.583984375,289.6294250488281,61.960845947265625,4.805015578313032e-06,0.0,0.0,2582.7314453125,1290.1629638671875,0.0,23.8428955078125,2903.160400390625,11.832154273986816,11.832223892211914,971.1456298828125,1942.1973876953125,49.969276428222656,49.969547271728516,100.0,0.0,0.0,344.9826354980469,0.0,7.924896240234375,17.16864776611328,17.16949462890625,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.2935352325439453,0.0,0.0,0.0,0.0,5.4131477073049,0.0,0.0,-0.0,0.002116359304636717,-0.002097457880154252,0.0,1.8901366274803877e-05,100.28272247314453,100.28187561035156,790.2323608398438,790.2317504882812,790.2317504882812,550.1068115234375,0.0,0.0,23.8428955078125,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,94.01980590820312,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
80.0,155.4828338623047,309.98193359375,327.81402587890625,327.8131408691406,292.1497802734375,292.150634765625,16515.818359375,33031.63671875,66.98137664794922,66.98140716552734,1917.0001220703125,3833.92529296875,1915.843994140625,3831.586669921875,289.6300354003906,61.96236038208008,2.3989114197320305e-06,0.0,0.0,2582.7265625,1290.163330078125,0.0,23.817413330078125,2903.23095703125,11.832497596740723,11.832571983337402,971.148681640625,1942.202880859375,49.97284698486328,49.97314453125,100.0,0.0,0.0,344.98345947265625,0.0,7.924896240234375,17.1694278717041,17.17030906677246,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.2934794425964355,0.0,0.0,0.0,0.0,4.940762550005015,0.0,0.0,-0.0,0.002100598067045212,-0.002116043120622635,0.0,-1.5445228200405836e-05,100.28251647949219,100.28431701660156,790.2421875,790.2435302734375,790.2435302734375,550.1127319335938,0.0,0.0,23.817413330078125,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,107.35598754882812,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
90.0,155.48410034179688,309.98193359375,327.8139953613281,327.8130798339844,292.1498718261719,292.1507873535156,16515.818359375,33031.63671875,66.9814682006836,66.98149871826172,1916.9342041015625,3833.7880859375,1915.8455810546875,3831.58544921875,289.6304626464844,61.963443756103516,-2.055949607893126e-06,0.0,0.0,2582.72265625,1290.163818359375,0.0,23.827829360961914,2903.171142578125,11.832828521728516,11.832907676696777,971.1426391601562,1942.188720703125,49.97710418701172,49.97750473022461,100.0,0.0,0.0,344.984130859375,0.0,7.924896240234375,17.17013931274414,17.17105484008789,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.2935266494750977,0.0,0.0,0.0,0.0,4.569602783555105,0.0,0.0,-0.0,0.002100598067045212,-0.002100448589771986,0.0,1.493026502430439e-07,100.28227996826172,100.2822494506836,790.233642578125,790.233642578125,790.233642578125,550.1077880859375,0.0,0.0,23.827829360961914,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,120.69216918945312,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
100.0,155.48538208007812,309.98193359375,327.81390380859375,327.8130187988281,292.14996337890625,292.1508483886719,16515.818359375,33031.63671875,66.98149871826172,66.98153686523438,1916.871826171875,3833.65869140625,1915.84423828125,3831.586669921875,289.630859375,61.96440887451172,-3.379032250450109e-06,0.0,0.0,2582.718994140625,1290.164306640625,0.0,23.822935104370117,2903.172607421875,11.833139419555664,11.833221435546875,971.1370849609375,1942.1796875,49.98075866699219,49.98118209838867,100.0,0.0,0.0,344.9847717285156,0.0,7.924896240234375,17.17088508605957,17.17176628112793,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.293525457382202,0.0,0.0,0.0,0.0,4.2080835664454295,0.0,0.0,-0.0,0.002100598067045212,-0.0021008760668337345,0.0,-2.7799978852272034e-07,100.2823486328125,100.28230285644531,790.2339477539062,790.2339477539062,790.2339477539062,550.10791015625,0.0,0.0,23.822935104370117,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,134.02835083007812,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
110.0,155.46119689941406,309.98236083984375,327.81396484375,327.8130798339844,292.150390625,292.1512451171875,16515.818359375,33031.63671875,66.98168182373047,66.98171997070312,1916.7877197265625,3833.483642578125,1915.8448486328125,3831.58642578125,289.6163635253906,61.92799758911133,2.8997405934205744e-06,0.0,0.0,2582.781494140625,1290.1673583984375,0.0,24.93149185180664,2903.058837890625,11.833433151245117,11.833516120910645,971.14404296875,1942.1927490234375,49.98501968383789,49.98542022705078,100.0,0.0,0.0,344.97393798828125,0.0,7.924896240234375,17.15996742248535,17.16084861755371,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.2936153411865234,0.0,0.0,0.0,0.0,10.271965462177095,0.0,0.0,-0.0,0.002049373695626855,-0.0020719298627227545,0.0,-2.2556225303560495e-05,100.2752914428711,100.27837371826172,790.2132568359375,790.2155151367188,790.2155151367188,550.0989379882812,0.0,0.0,24.93149185180664,0.0010999999940395355,0.02200000174343586,0.03299999609589577,7.042724132537842,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,147.36453247070312,0.0,0.020854124799370766,0.0017275346908718348,0.0,0.0,33.72509765625,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
120.0,155.38995361328125,309.981689453125,327.81365966796875,327.8127746582031,292.15020751953125,292.1510925292969,16515.818359375,33031.63671875,66.98164367675781,66.98168182373047,1916.7352294921875,3833.3759765625,1915.8446044921875,3831.58642578125,289.56793212890625,61.806114196777344,2.6164871087530628e-06,0.0,0.0,2582.989501953125,1290.17041015625,0.0,25.786848068237305,2903.17138671875,11.833699226379395,11.833784103393555,971.1167602539062,1942.1383056640625,49.98733901977539,49.987796783447266,100.0,0.0,0.0,344.9377136230469,0.0,7.924896240234375,17.12405776977539,17.12493896484375,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.2935264110565186,0.0,0.0,0.0,0.0,30.526682421140823,0.0,0.0,-0.0,0.002128180116415024,-0.0021001282148063183,0.0,2.8051959816366434e-05,100.28656005859375,100.28225708007812,790.2366333007812,790.2334594726562,790.2334594726562,550.1075439453125,0.0,0.0,25.786848068237305,0.0010999999940395355,0.02200000174343586,0.03299999609589577,20.009647369384766,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,160.70071411132812,0.0,0.05917872115969658,0.004896886181086302,0.0,0.0,34.8390007019043,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
130.0,155.3246307373047,309.9816589355469,327.81365966796875,327.8127746582031,292.14996337890625,292.15081787109375,16515.818359375,33031.63671875,66.9814453125,66.98148345947266,1916.681396484375,3833.264892578125,1915.8448486328125,3831.58642578125,289.5208435058594,61.68760681152344,-2.583657987997867e-06,0.0,0.0,2583.182373046875,1290.1734619140625,0.0,26.162513732910156,2903.2861328125,11.833950996398926,11.834035873413086,971.1215209960938,1942.147705078125,49.989505767822266,49.989967346191406,100.0,0.0,0.0,344.9040832519531,0.0,7.924896240234375,17.09041976928711,17.0913028717041,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.29343581199646,0.0,0.0,0.0,0.0,49.32086030450638,0.0,0.0,-0.0,0.0021321203093975782,-0.0021300355438143015,0.0,2.084823790937662e-06,100.28609466552734,100.28622436523438,790.2523803710938,790.25244140625,790.25244140625,550.1170654296875,0.0,0.0,26.162513732910156,0.0010999999940395355,0.02200000174343586,0.03299999609589577,30.615385055541992,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,174.03689575195312,0.0,0.09052467346191406,0.0074891215190291405,0.0,0.0,34.8390007019043,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
140.0,155.26441955566406,309.9813232421875,327.8128967285156,327.81201171875,292.1498718261719,292.1507568359375,16515.818359375,33031.63671875,66.98117065429688,66.98120880126953,1916.6337890625,3833.166015625,1915.8448486328125,3831.58642578125,289.47528076171875,61.57304763793945,8.457259781380344e-08,0.0,0.0,2583.360107421875,1290.175537109375,0.0,26.539409637451172,2903.438720703125,11.834186553955078,11.834272384643555,971.1141967773438,1942.1329345703125,49.9912109375,49.99168014526367,100.0,0.0,0.0,344.8730773925781,0.0,7.924896240234375,17.06020736694336,17.06109046936035,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.2933151721954346,0.0,0.0,0.0,0.0,66.64486032330514,0.0,0.0,-0.0,0.002171523170545697,-0.0021692353766411543,0.0,2.28791031986475e-06,100.29237365722656,100.29149627685547,790.2780151367188,790.27734375,790.27734375,550.1293334960938,0.0,0.0,26.539409637451172,0.0010999999940395355,0.02200000174343586,0.03299999609589577,39.289886474609375,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,187.37307739257812,0.0,0.1161627396941185,0.009609327651560307,0.0,0.0,34.8390007019043,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
150.0,155.20953369140625,309.9809875488281,327.8127746582031,327.8118896484375,292.1495361328125,292.1504211425781,16515.818359375,33031.63671875,66.98092651367188,66.98096466064453,1916.5802001953125,3833.055908203125,1915.844970703125,3831.5859375,289.43157958984375,61.46309280395508,4.689764864451718e-06,0.0,0.0,2583.522216796875,1290.1776123046875,0.0,26.906892776489258,2903.547119140625,11.834405899047852,11.834491729736328,971.1078491210938,1942.1199951171875,49.9930419921875,49.99351119995117,100.0,0.0,0.0,344.8448486328125,0.0,7.924896240234375,17.03206443786621,17.03294563293457,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.293229818344116,0.0,0.0,0.0,0.0,82.43119687178385,0.0,0.0,-0.0,0.0022109257988631725,-0.002196899615228176,0.0,1.4026241842657328e-05,100.29754638671875,100.29523468017578,790.2965698242188,790.2948608398438,790.2948608398438,550.137939453125,0.0,0.0,26.906892776489258,0.0010999999940395355,0.02200000174343586,0.03299999609589577,46.38482666015625,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,200.70925903320312,0.0,0.13713225722312927,0.011343458667397499,0.0,0.0,34.8390007019043,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
160.0,155.15966796875,309.9806823730469,327.8125915527344,327.81170654296875,292.1492919921875,292.1501770019531,16515.818359375,33031.63671875,66.98069763183594,66.9807357788086,1916.5257568359375,3832.943115234375,1915.844970703125,3831.5859375,289.3896789550781,61.35768127441406,2.076646069326671e-06,0.0,0.0,2583.669189453125,1290.178955078125,0.0,27.258689880371094,2903.642578125,11.834610939025879,11.834696769714355,971.1038208007812,1942.11181640625,49.99478530883789,49.9952507019043,100.0,0.0,0.0,344.8192138671875,0.0,7.924896240234375,17.006633758544922,17.00751495361328,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.293154239654541,0.0,0.0,0.0,0.0,96.77628198186795,0.0,0.0,-0.0,0.002246387768536806,-0.0022213594056665897,0.0,2.502836287021637e-05,100.30085754394531,100.29853820800781,790.3121337890625,790.3104248046875,790.3104248046875,550.1455688476562,0.0,0.0,27.258689880371094,0.0010999999940395355,0.02200000174343586,0.03299999609589577,52.18783187866211,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,214.04544067382812,0.0,0.15428341925144196,0.01276182010769844,0.0,0.0,34.8390007019043,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
170.0,155.114501953125,309.9804992675781,327.8123779296875,327.81146240234375,292.14910888671875,292.1499938964844,16515.818359375,33031.63671875,66.98045349121094,66.9804916381836,1916.47412109375,3832.83642578125,1915.84521484375,3831.58544921875,289.3494567871094,61.25653839111328,3.2217865282291314e-06,0.0,0.0,2583.80224609375,1290.1806640625,0.0,27.591819763183594,2903.75146484375,11.834799766540527,11.83488655090332,971.1036987304688,1942.1112060546875,49.99626159667969,49.99672317504883,100.0,0.0,0.0,344.79595947265625,0.0,7.924896240234375,16.98357582092285,16.9844913482666,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.2930684089660645,0.0,0.0,0.0,0.0,109.77168716653935,0.0,0.0,-0.0,0.0022660887334495783,-0.0022494508884847164,0.0,1.6637903172522783e-05,100.30341339111328,100.30229187011719,790.3290405273438,790.3282470703125,790.3282470703125,550.1544189453125,0.0,0.0,27.591819763183594,0.0010999999940395355,0.02200000174343586,0.03299999609589577,56.934146881103516,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,227.38162231445312,0.0,0.1683114469051361,0.013921905308961868,0.0,0.0,34.8390007019043,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
180.0,155.07382202148438,309.9803466796875,327.81231689453125,327.8114013671875,292.1485595703125,292.1494140625,16515.818359375,33031.63671875,66.98017883300781,66.98021697998047,1916.4290771484375,3832.74462890625,1915.84521484375,3831.58544921875,289.3109436035156,61.15962219238281,1.830935957514157e-06,0.0,0.0,2583.92236328125,1290.1820068359375,0.0,27.90114402770996,2903.895263671875,11.834976196289062,11.83505916595459,971.1038818359375,1942.1116943359375,49.9973258972168,49.99776077270508,100.0,0.0,0.0,344.7749938964844,0.0,7.924896240234375,16.962688446044922,16.963603973388672,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.292954683303833,0.0,0.0,0.0,0.0,121.4897345267883,0.0,0.0,-0.0,0.0022857896983623505,-0.0022866211365908384,0.0,-8.315546438097954e-07,100.30748748779297,100.30726623535156,790.3519897460938,790.3518676757812,790.3518676757812,550.1660766601562,0.0,0.0,27.90114402770996,0.0010999999940395355,0.02200000174343586,0.03299999609589577,60.81617736816406,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,240.71780395507812,0.0,0.17978507280349731,0.014870744198560715,0.0,0.0,34.8390007019043,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
